iter	MultiClass
0	1.126289355
1	0.9601632637
2	0.8406892004
3	0.7483079736
4	0.6756737958
5	0.6161209665
6	0.5669218621
7	0.5257337639
8	0.4911300618
9	0.4616546065
10	0.4363597803
11	0.4147720948
12	0.3960989883
13	0.3800814784
14	0.3659612006
15	0.3537475657
16	0.3430910985
17	0.3337862532
18	0.3257080517
19	0.3186289044
20	0.3122994862
21	0.3067559445
22	0.3018890509
23	0.29757567
24	0.2938347848
25	0.2904906574
26	0.2875856136
27	0.2849805327
28	0.2826872428
29	0.2806783517
30	0.2790101061
31	0.2774235321
32	0.2760514852
33	0.2748361413
34	0.2737395746
35	0.2727849723
36	0.2719502786
37	0.2711936826
38	0.2705377139
39	0.2699895723
40	0.2694899899
41	0.2690196268
42	0.2686404931
43	0.2682772557
44	0.2679459728
45	0.2676534073
46	0.2673959299
47	0.2671994106
48	0.2670011404
49	0.2668328524
50	0.2666730762
51	0.2665278996
52	0.2664106331
53	0.2662998101
54	0.2662085739
55	0.2661216168
56	0.2660533054
57	0.2659842877
58	0.2659333229
59	0.2658773241
60	0.2658271897
61	0.2657830524
62	0.2657420769
63	0.2657068714
64	0.2656761092
65	0.2656470856
66	0.2656226499
67	0.2656014185
68	0.2655794533
69	0.2655614559
70	0.2655472406
71	0.2655322548
72	0.2655241695
73	0.265512167
74	0.26550043
75	0.2654918295
76	0.265483152
77	0.2654741757
78	0.2654702607
79	0.2654622001
80	0.265456617
81	0.265449467
82	0.2654428906
83	0.2654371468
84	0.2654328102
85	0.2654291946
86	0.2654259541
87	0.2654212581
88	0.2654172599
89	0.2654146101
90	0.2654119685
91	0.2654096638
92	0.2654082673
93	0.2654061252
94	0.2654027317
95	0.265401092
96	0.2653993825
97	0.2653976079
98	0.2653953221
99	0.2653938177
100	0.2653926949
101	0.2653908384
102	0.2653899971
103	0.2653884719
104	0.26538683
105	0.2653856833
106	0.2653846396
107	0.2653835517
108	0.2653829103
109	0.2653800008
110	0.2653788576
111	0.2653772638
112	0.2653764609
113	0.265375177
114	0.2653735141
115	0.2653721913
116	0.2653703563
117	0.2653697417
118	0.2653670291
119	0.2653658029
120	0.2653634877
121	0.265362123
122	0.2653613593
123	0.2653596546
124	0.2653587176
125	0.2653575039
126	0.2653566361
127	0.2653563001
128	0.265355305
129	0.2653535954
130	0.2653524572
131	0.2653507834
132	0.2653498754
133	0.2653484737
134	0.2653470321
135	0.2653461125
136	0.2653453469
137	0.2653440031
138	0.2653409841
139	0.2653402399
140	0.2653396683
141	0.2653374825
142	0.2653367308
143	0.2653359571
144	0.2653352885
145	0.2653339884
146	0.2653335452
147	0.2653321835
148	0.2653310299
149	0.2653306614
150	0.265329911
151	0.2653292654
152	0.2653285773
153	0.2653281777
154	0.2653270816
155	0.2653267779
156	0.2653246086
157	0.2653240664
158	0.2653230497
159	0.2653218732
160	0.265321597
161	0.2653201062
162	0.2653198802
163	0.2653195995
164	0.2653194555
165	0.2653189212
166	0.2653188055
167	0.2653184993
168	0.2653179203
169	0.2653173707
170	0.2653170202
171	0.2653166449
172	0.2653163979
173	0.2653158615
174	0.26531527
175	0.2653141742
176	0.265313421
177	0.2653125778
178	0.2653116298
179	0.265310731
180	0.2653103032
181	0.2653096171
182	0.2653078343
183	0.2653076367
184	0.2653072583
185	0.2653067663
186	0.2653060275
187	0.2653056888
188	0.2653048525
189	0.2653043135
190	0.265303226
191	0.2653025272
192	0.2653021372
193	0.2653020317
194	0.2653018179
195	0.2653014977
196	0.2653008183
197	0.26530054
198	0.2653002816
199	0.2652996283
200	0.265298793
201	0.2652978376
202	0.2652969161
203	0.2652966171
204	0.2652964481
205	0.2652962351
206	0.2652959618
207	0.2652951355
208	0.2652941737
209	0.2652940979
210	0.2652937672
211	0.2652935291
212	0.2652934132
213	0.2652932763
214	0.2652924819
215	0.2652923956
216	0.2652922124
217	0.2652919148
218	0.2652918093
219	0.2652911865
220	0.2652900134
221	0.2652897868
222	0.2652891452
223	0.2652890514
224	0.2652884925
225	0.2652878446
226	0.2652876656
227	0.2652872267
228	0.2652867149
229	0.2652857797
230	0.2652854665
231	0.2652846177
232	0.2652845149
233	0.2652841766
234	0.2652839968
235	0.2652836424
236	0.2652830895
237	0.2652829147
238	0.2652828574
239	0.2652826423
240	0.2652823818
241	0.2652816282
242	0.2652815174
243	0.2652812516
244	0.2652811787
245	0.2652808502
246	0.2652805356
247	0.2652804336
248	0.2652801706
249	0.2652796446
250	0.2652780564
251	0.2652778711
252	0.2652777219
253	0.2652771127
254	0.2652770233
255	0.265276836
256	0.2652767416
257	0.2652766093
258	0.2652758766
259	0.2652756828
260	0.2652756365
261	0.2652752523
262	0.265275057
263	0.2652749218
264	0.2652748262
265	0.265274419
266	0.2652741977
267	0.265273868
268	0.2652734333
269	0.2652732919
270	0.2652731096
271	0.265272919
272	0.2652726132
273	0.2652725625
274	0.2652723341
275	0.2652722259
276	0.2652720368
277	0.2652718578
278	0.2652716902
279	0.2652715603
280	0.2652713032
281	0.2652712532
282	0.2652708887
283	0.2652703589
284	0.2652701392
285	0.265270062
286	0.2652695958
287	0.2652695644
288	0.2652694676
289	0.2652692654
290	0.2652688533
291	0.2652686987
292	0.2652685818
293	0.2652683485
294	0.2652677589
295	0.2652677221
296	0.2652674559
297	0.2652674308
298	0.2652672108
299	0.2652670354
300	0.2652664314
301	0.2652659497
302	0.2652657486
303	0.2652656802
304	0.2652654444
305	0.2652649575
306	0.2652649389
307	0.2652644336
308	0.2652642658
309	0.2652639353
310	0.2652638845
311	0.2652637443
312	0.2652636852
313	0.2652635473
314	0.2652632871
315	0.2652628996
316	0.2652627469
317	0.2652625619
318	0.2652623512
319	0.2652621589
320	0.2652621327
321	0.265261907
322	0.2652618175
323	0.2652616681
324	0.265261146
325	0.2652609983
326	0.2652609629
327	0.2652606079
328	0.2652605497
329	0.2652601585
330	0.2652600186
331	0.2652593554
332	0.2652592659
333	0.2652592472
334	0.2652591044
335	0.2652587477
336	0.2652585894
337	0.2652583954
338	0.2652583176
339	0.2652576797
340	0.2652575734
341	0.2652575093
342	0.2652574907
343	0.2652574052
344	0.2652573024
345	0.2652572668
346	0.2652572295
347	0.2652566647
