iter	Passed	Remaining
0	238	238163
1	313	156216
2	373	124223
3	440	109703
4	502	99977
5	573	95044
6	651	92446
7	737	91405
8	806	88759
9	874	86612
10	957	86084
11	1029	84767
12	1109	84259
13	1175	82815
14	1256	82479
15	1343	82630
16	1416	81919
17	1507	82228
18	1572	81213
19	1637	80233
20	1707	79590
21	1779	79092
22	1844	78369
23	1928	78412
24	2031	79209
25	2110	79056
26	2188	78856
27	2277	79053
28	2368	79301
29	2448	79170
30	2499	78141
31	2582	78111
32	2653	77742
33	2743	77950
34	2828	77989
35	2911	77961
36	2975	77448
37	3047	77145
38	3131	77157
39	3182	76388
40	3256	76177
41	3337	76134
42	3390	75465
43	3472	75446
44	3559	75531
45	3635	75403
46	3714	75321
47	3794	75250
48	3879	75289
49	3955	75157
50	4030	75007
51	4107	74884
52	4184	74772
53	4261	74663
54	4338	74547
55	4427	74630
56	4512	74658
57	4591	74569
58	4643	74063
59	4726	74048
60	4809	74035
61	4890	73991
62	4956	73721
63	5038	73691
64	5123	73695
65	5206	73680
66	5290	73671
67	5349	73321
68	5408	72975
69	5507	73175
70	5587	73110
71	5660	72953
72	5736	72851
73	5790	72460
74	5881	72532
75	5960	72471
76	6058	72618
77	6131	72477
78	6182	72073
79	6257	71964
80	6341	71946
81	6414	71808
82	6487	71676
83	6549	71417
84	6631	71387
85	6695	71158
86	6784	71194
87	6857	71069
88	6921	70844
89	6999	70773
90	7054	70464
91	7154	70616
92	7202	70241
93	7276	70133
94	7341	69938
95	7415	69829
96	7510	69915
97	7605	70005
98	7685	69943
99	7763	69875
100	7843	69816
101	7923	69760
102	8022	69862
103	8107	69849
104	8196	69864
105	8281	69842
106	8340	69606
107	8426	69596
108	8512	69584
109	8585	69465
110	8666	69409
111	8751	69386
112	8822	69253
113	8905	69212
114	8980	69109
115	9061	69055
116	9146	69031
117	9235	69029
118	9315	68969
119	9389	68852
120	9473	68816
121	9565	68839
122	9650	68808
123	9719	68666
124	9803	68626
125	9882	68550
126	9968	68526
127	10060	68540
128	10141	68474
129	10222	68409
130	10318	68445
131	10402	68406
132	10486	68362
133	10567	68292
134	10641	68184
135	10712	68054
136	10789	67967
137	10888	68013
138	10971	67962
139	11047	67864
140	11144	67896
141	11231	67865
142	11322	67854
143	11420	67888
144	11511	67876
145	11586	67770
146	11665	67692
147	11756	67680
148	11832	67582
149	11922	67558
150	11995	67447
151	12067	67326
152	12153	67283
153	12224	67155
154	12302	67069
155	12383	66997
156	12457	66889
157	12542	66839
158	12616	66733
159	12698	66664
160	12793	66668
161	12866	66557
162	12948	66488
163	13031	66428
164	13131	66452
165	13212	66378
166	13298	66334
167	13379	66261
168	13462	66195
169	13557	66193
170	13637	66115
171	13713	66016
172	13791	65927
173	13885	65917
174	13971	65867
175	14044	65754
176	14128	65693
177	14199	65572
178	14289	65539
179	14363	65433
180	14440	65341
181	14522	65270
182	14595	65160
183	14681	65107
184	14757	65012
185	14838	64939
186	14918	64861
187	15002	64798
188	15079	64706
189	15160	64629
190	15241	64555
191	15316	64458
192	15400	64395
193	15499	64394
194	15576	64303
195	15652	64208
196	15740	64158
197	15813	64053
198	15904	64016
199	15986	63947
200	16063	63852
201	16152	63809
202	16234	63738
203	16320	63682
204	16415	63661
205	16504	63612
206	16582	63524
207	16656	63421
208	16736	63343
209	16819	63273
210	16902	63205
211	16983	63129
212	17060	63034
213	17151	62996
214	17238	62941
215	17310	62831
216	17408	62815
217	17490	62741
218	17583	62706
219	17665	62633
220	17745	62551
221	17838	62514
222	17936	62497
223	18030	62461
224	18114	62393
225	18199	62330
226	18273	62225
227	18354	62148
228	18429	62048
229	18509	61967
230	18602	61927
231	18688	61865
232	18769	61785
233	18864	61752
234	18951	61692
235	19029	61604
236	19134	61600
237	19225	61554
238	19306	61474
239	19401	61438
240	19493	61393
241	19579	61326
242	19667	61270
243	19740	61163
244	19814	61061
245	19898	60988
246	19972	60888
247	20069	60856
248	20156	60792
249	20227	60683
250	20309	60606
251	20392	60528
252	20480	60468
253	20564	60398
254	20646	60318
255	20728	60241
256	20799	60132
257	20884	60064
258	20981	60029
259	21073	59979
260	21147	59877
261	21238	59824
262	21310	59718
263	21397	59654
264	21479	59576
265	21558	59488
